Order,Creation Date,Total Value,Client Hash
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475531372003-01,2024-11-10 14:07:26+00:00,1881.71,ee095910f31f96aefd584e09ee5e49ff717b7a74237cb5cfb1d0a4cf0e06f68b
1475251371885-01,2024-11-09 09:34:12+00:00,139.83,1f50f2a2188c93e7e61622f71e46ae778acf5ffaae9c82a7e393457601710ded
1475521371995-01,2024-11-10 13:04:40+00:00,174.24,d196e69614a74495f6a6bc76a92424da2e976258145a981a5c5085f04e493b97
1475521371995-01,2024-11-10 13:04:40+00:00,174.24,d196e69614a74495f6a6bc76a92424da2e976258145a981a5c5085f04e493b97
1475251371883-01,2024-11-09 09:33:11+00:00,430.0,47877fae949554ca10d1c459b74fe78dc385fee72dae245018db1c113a5de2e2
1475251371883-01,2024-11-09 09:33:11+00:00,430.0,47877fae949554ca10d1c459b74fe78dc385fee72dae245018db1c113a5de2e2
1475251371883-01,2024-11-09 09:33:11+00:00,430.0,47877fae949554ca10d1c459b74fe78dc385fee72dae245018db1c113a5de2e2
1475521371993-01,2024-11-10 13:03:31+00:00,640.88,34c8be644b42dca6af5a26baff73dec93f464e578da67e521a0977a8c5700a33
1475521371993-01,2024-11-10 13:03:31+00:00,640.88,34c8be644b42dca6af5a26baff73dec93f464e578da67e521a0977a8c5700a33
1475521371993-01,2024-11-10 13:03:31+00:00,640.88,34c8be644b42dca6af5a26baff73dec93f464e578da67e521a0977a8c5700a33
1475521371993-01,2024-11-10 13:03:31+00:00,640.88,34c8be644b42dca6af5a26baff73dec93f464e578da67e521a0977a8c5700a33
1475221371881-01,2024-11-09 07:22:53+00:00,217.49,454bc55e48d7b5500d2282358adb3b59e80f5ec214b25cffa14040871d809b70
1475521371991-01,2024-11-10 12:37:39+00:00,369.99,0c1d291f2d26c5780d82fbdf7ef34237ae66ecd55deb9e7598d68d0faa932463
1475521371991-01,2024-11-10 12:37:39+00:00,369.99,0c1d291f2d26c5780d82fbdf7ef34237ae66ecd55deb9e7598d68d0faa932463
1475521371991-01,2024-11-10 12:37:39+00:00,369.99,0c1d291f2d26c5780d82fbdf7ef34237ae66ecd55deb9e7598d68d0faa932463
1475161371873-01,2024-11-09 01:03:49+00:00,432.0,a9cec67c9f285e45c76d8b36e141d2ab40fce14c2426b6c29c10d94ca821fc72
