client_hash,recency,frequency,monetary
015f51af2d41172169f5b9eca1e5240b8b8d5f4ba15204847b060afb91f67a0d,237,1,179.41
0162025a007c3af2b9a17dbb25700cd540bd1f76c2858f846ff976788e881d17,415,1,121.31
01634d1f73d1097cb08e68c9833d144198608fa3d4ee104e596c59459c993f3f,373,1,119.18
01636e53d8bfb19de129805081fa2cbd4288e6d08d7504f09d826b3a5e62a62f,152,1,250.88
016477b02025357440e909599dbf6a6324c011beed353801c514f096720a6eb0,664,1,115.63
016a03ff220c2c97c8862491e269f450f94ff8cab16be1ecb6c6809c399b3b53,346,2,215.4
016c2814547b5c9edf88e2cd48aad96b569395186cf9e9bef4623748ad095b97,491,1,403.0
016e15f993187e003fbbfa86346d860329f574013038919127ae4a31d661a80d,120,1,209.46
016ebf98a7c4dc13d654b8db0de1d47d12b1c909653f0f1b21267ac3515fd58e,474,1,167.76
0170cccc925ef2c1695d111ecf9944271272aa3de8204cff0bccbcd1fa9f67de,633,3,548.36
0171141dc499bcd5da04dce777e10d8d34c939ac9d5cb10d7c6e14f01d6b7343,109,3,939.41003
017354660e26c494e679ecb1d2f29e5cf19f8a860dc08a21919955cd5e923468,14,1,355.26
0174dc247f30d2fd514a010024c0cdd57064c6796b0062342df6b61643d4bb4b,470,1,356.41
01753dc4abb43431d0ba56e7160524fecb37253666a5ae7c178e056275ae7a6e,568,1,435.0
017aa3f4cf2e3b2fd8ebadcc414a9691007ab20e587dc9a972a1f904ff26a50e,518,1,262.65
017b5dc6ea1931842ff992ebaa4754319c450f4d2be78c18b18a220e47b4a176,360,1,151.91
017c7e5034eaa0d5da66752bf3f553d6723716ff52838b29679018e44aae2056,562,1,99.0
017d5f7c4eb4c37eb3543b7bcca62b161848ee4bf6432366e6f339eea022bed2,141,1,167.05
017dea8363308371b5149450da6c77152e515d1561a7a90d874795b0d5b4ee2a,614,1,406.76
0181a4bb98661868c11e09c96a70de6b390f6695e46b6b127e9dd65c60621cc7,460,1,222.76
0181f50a92f5169c73baf5289f3991a053ecd56c304adc70385c66f18af6e99d,91,1,653.4
01824eecbd6e2f0c0dc798a8331c4d147083ff61a6fbff8003899b50d465f222,286,1,169.57
0184bb5064f7d3b655efe877682f8ce1563be637bdbee9695f14e784ed0824ac,646,1,180.14
018603f3ffe5dd086b9e79c2ddea1ed943558aa91ae167aabeb7160c00248afc,621,1,69.6
0187811ccbcd3556bf71773d4da98e452ef78c1a81b4fbbb5b067e8b122e38fe,61,2,461.76
0188232f70ba3b8095b8ae8cffcc1917180dcca866c5708b85c6f0f63500d3d8,269,1,139.46
